d_prime,load_effect,Profit
0.9010,5.0025,127.4197
0.9455,4.9268,126.9388
0.9798,4.8864,126.6099
0.9465,5.0581,140.5776
0.9899,5.1237,138.2240
0.9414,4.8712,126.7358
0.9636,5.0177,127.2514
0.9586,4.9722,127.0852
0.9333,4.9672,127.1425
0.9192,5.1187,127.8052
0.9970,5.0530,141.0328
0.9657,4.9369,137.3385
0.9384,5.1540,138.4573
0.9828,4.8712,126.4864
0.9424,5.1035,137.9294
1.0000,4.9520,126.9071
0.9909,4.9975,127.1923
0.9939,5.0985,127.5046
0.9929,5.1136,127.6124
0.9485,5.0429,127.4580
max_cooling_system_cooling,max_oil_cooling,Profit
9.9848,5.0732,127.5840
9.7727,4.7702,136.1919
10.2475,4.9167,127.4758
10.1566,5.1641,90.8425
10.1263,4.7854,126.6635
9.8434,5.0732,126.9092
10.0253,5.2348,143.4092
10.2980,4.8460,127.3846
9.9040,4.8207,132.0480
9.7222,4.7803,125.2865
9.7222,4.8864,125.6872
9.8131,5.1338,138.4814
9.7121,4.9773,136.6572
10.1364,5.0076,138.2222
10.2172,5.0429,145.3585
10.0556,4.8005,126.6419
9.7222,5.0429,126.3963
9.6818,4.7702,133.6197
10.0051,4.7601,126.1248
9.9848,5.1793,141.1663
9.6515,4.8157,131.5396
10.2374,4.8460,137.8136
9.9545,4.9621,132.7364
10.1970,5.0985,134.2949
9.6717,5.0025,126.0889
9.6414,5.0227,136.6713
10.0657,4.9268,126.9758
10.0960,5.1591,130.1246
10.2879,4.9167,111.0534
10.0960,4.7500,126.5830
9.8535,4.8813,126.0883
9.6212,4.9874,113.7647
10.1768,5.1843,128.2734
9.9444,5.1389,141.1371
9.9949,5.2399,131.8895
9.6616,4.8965,136.2504
10.1667,4.8359,133.0266
9.8030,4.9672,126.2348
9.8838,4.7904,141.7855
9.7828,5.1035,126.8159
10.0556,5.0732,127.6459
10.2071,5.1490,128.2409
10.2071,4.9672,139.7922
9.6010,5.0076,125.5589
9.9646,4.8005,139.3349
9.9141,5.0530,142.6505
9.8131,4.8005,136.1258
10.0354,4.9874,127.3632
9.6111,4.9520,131.6192
10.0253,4.8864,142.7346
9.8636,4.9571,126.3769
10.1263,4.9116,127.1173
9.6717,5.0581,126.2532
9.9242,5.1641,127.5186
10.2273,5.1288,29.7243
10.2172,4.8258,137.8873
9.7727,4.8611,125.7652
9.9242,4.8914,126.3286
10.0455,5.1540,128.0602
10.1970,4.8005,127.0224
10.2374,5.0934,141.8309
9.7929,5.0278,126.3592
10.2980,4.8965,138.3887
10.1061,5.0682,138.9201
9.6515,4.8712,88.0350
9.8131,4.7702,125.4537
9.8737,5.1035,137.7323
9.6717,5.0783,126.2318
10.2374,4.9722,127.7171
10.1869,5.1995,128.4538
9.8838,5.1439,127.3788
10.0152,4.8157,126.5552
10.2980,4.9369,90.4066
9.7828,4.9116,141.4408
10.0455,4.7652,133.3950
10.0960,4.9722,140.5123
10.1465,5.1995,101.5963
9.7121,4.8308,125.5430
9.6212,4.9268,125.4372
9.8636,5.0025,137.4098
9.9242,4.7854,139.5377
9.9646,5.1995,127.7624
10.1667,4.9217,127.2825
9.9848,4.9823,119.8010
10.1263,4.8308,136.1245
10.1566,5.0480,138.5065
9.9545,5.0227,127.1123
9.9545,4.8510,137.0356
9.7929,5.1338,126.8722
10.0758,4.8460,132.6154
10.1263,5.1187,141.6932
9.7626,5.0581,126.5249
9.7424,4.9369,125.9021
10.0051,5.1035,138.0366
9.9141,5.1843,127.4890
10.2475,5.1237,136.3028
10.2576,5.1389,91.1095
9.9545,4.9167,126.5750
9.8535,5.1490,127.3304
10.1970,4.7854,140.6042
