Nodes Current_Node  Objective_Bounds Work  Incumbent BestBd   Gap  Depth Time         
H66037 49748                     444.2945898 5024.00000  1031%   314 4432s
 66078 49908 3620.70093  178 1915  444.29459 5024.00000  1031%   315 4456s
 66240 50034 3582.66244  181 1800  444.29459 5024.00000  1031%   317 4483s
 66366 50168 3282.53604  184 1851  444.29459 5024.00000  1031%   320 4508s
 66522 50283 3352.94668  187 1790  444.29459 5024.00000  1031%   322 4534s
 66665 50546 3026.61899  195 1653  444.29459 5024.00000  1031%   325 4570s
 66944 50621 1119.87493  210  729  444.29459 5024.00000  1031%   330 4610s
 67021 50746 2546.25890  209 1637  444.29459 5024.00000  1031%   332 4650s
 67149 50865 2445.56577  208 1582  444.29459 5024.00000  1031%   336 4687s
 67276 51110 2166.09467  213 1572  444.29459 5024.00000  1031%   339 4725s
 67521 51488 2165.69255  214 1594  444.29459 5024.00000  1031%   340 4755s
 67903 51872 1546.17855  226 1420  444.29459 5024.00000  1031%   342 4793s
 68295 52186 1552.60262  241 1513  444.29459 5024.00000  1031%   343 4826s
 68629 52563  766.17451  240  693  444.29459 5024.00000  1031%   344 4866s
 69020 52875 1703.21026  239 1520  444.29459 5024.00000  1031%   346 4905s
 69400 53094 1059.11855  249 1465  444.29459 5024.00000  1031%   349 4947s
 69671 53157  718.54511  246  793  444.29459 5024.00000  1031%   353 4990s
 69765 53249 1126.83689  248 1436  444.29459 5024.00000  1031%   354 5105s
H69789 53249                     444.2945898 5024.00000  1031%   355 5105s
H69814 53249                     444.2945900 5024.00000  1031%   355 5105s
H69885 53249                     444.2945919 5024.00000  1031%   355 5105s
 69892 53458  713.59141  250 1153  444.29459 5024.00000  1031%   357 5153s
 70169 53707 1126.74868  249 1435  444.29459 5024.00000  1031%   360 5196s
 70457 54116  804.60135  250 1450  444.29459 5024.00000  1031%   364 5246s
 70912 54262  605.04293  252 1441  444.29459 5024.00000  1031%   369 5288s
 71086 54501  605.06985  251 1438  444.29459 5024.00000  1031%   372 5338s
 71363 54877  762.66952  277 1417  444.29459 5024.00000  1031%   375 5390s
 71791 55381  732.11580  287 1355  444.29459 5024.00000  1031%   378 5432s
