d_prime,load_effect,Profit
0.9697,10.4545,57.6431
1.7424,10.7172,113.1798
0.9394,9.8485,100.3508
1.3485,10.1515,83.7361
0.6212,10.7576,54.4775
1.4394,10.4545,52.6917
1.0455,9.5455,47.1285
1.0152,10.2121,44.9850
1.6667,10.8586,43.7646
0.5606,10.6162,49.3821
0.6061,10.9394,63.3168
0.6515,10.0909,59.6293
1.2121,10.9192,43.0932
0.6364,10.0303,94.3343
1.8030,10.7576,52.6365
1.5909,10.2323,79.6091
1.9848,10.1111,52.8202
1.2879,9.8283,90.1282
1.1667,10.7576,134.9515
0.8182,10.4949,41.2627
1.1818,11.0000,70.2904
0.9545,10.8182,57.4236
1.0606,10.0303,87.5974
0.9848,9.5859,143.9110
1.2576,10.4747,141.1232
0.8636,9.8485,72.6860
1.9242,10.0505,47.0572
1.4848,10.9394,53.4337
1.3636,9.6465,27.5236
0.7576,10.7980,45.8971
0.6212,10.4747,96.1565
1.3333,9.9899,53.2526
1.5303,10.3535,50.7480
0.7879,9.9697,80.5163
1.8030,10.6566,15.0583
1.1061,10.3737,90.3633
1.7727,10.8182,105.6650
1.1212,9.5657,131.3727
1.8788,10.5960,94.7158
0.8788,10.2727,46.3198
1.8485,10.0505,95.4959
0.9242,10.6162,5.5945
1.0758,9.5051,46.5576
1.6515,10.3737,17.5530
1.1818,10.1313,-116.8973
0.5606,10.7778,53.6423
1.2727,10.6162,46.4325
1.9545,10.6162,60.5712
1.5303,10.9596,54.3862
0.7879,10.8586,57.6440
1.4697,10.1717,53.7852
1.3636,9.9091,88.3887
1.7273,10.8788,43.9025
0.5455,10.9596,54.4195
1.9545,10.4141,82.4790
1.3182,10.7980,96.9981
0.7727,10.3737,79.9227
0.5152,10.6566,66.5084
0.7121,10.0101,105.6014
1.7424,10.1717,130.9461
1.0606,10.7778,42.2147
1.0152,9.9091,38.2397
1.4394,10.5960,52.2298
0.8485,10.8788,62.3951
1.6364,10.0505,134.3274
1.3485,10.2727,71.8507
1.0000,9.5253,55.3697
0.9485,10.1465,141.4841
0.9525,9.7727,130.0832
0.9283,9.5808,138.9988
0.9182,9.5101,125.5198
0.9131,10.0859,137.0695
0.9101,9.8333,140.3546
0.9879,9.6818,126.1765
0.9869,10.1162,127.5480
0.9485,10.0253,127.4555
0.9929,9.6313,125.7833
0.9707,9.9848,137.5045
0.9182,10.1566,127.8629
0.9253,9.6515,126.1580
0.9071,9.7121,126.5024
0.9000,9.8636,126.9517
0.9566,9.8636,137.0624
0.9879,9.8333,141.1957
0.9798,10.0657,127.3781
0.9071,9.5909,125.9860
0.9586,10.1667,142.1529
0.9949,9.8737,126.5631
0.9758,9.9545,126.9774
0.9232,9.9040,127.0477
0.9273,9.5101,125.4217
0.9000,9.7323,132.4703
0.9061,9.7929,126.8067
0.9869,10.0253,127.2198
0.9313,9.9444,127.2726
0.9051,9.6717,126.3525
0.9990,9.6515,125.8216
0.9020,10.0960,127.6747
0.9273,9.9848,127.4411
0.9677,9.7020,126.1303
0.9838,9.9040,143.9584
0.9717,9.7626,138.6140
0.9838,9.8030,126.3881
0.9485,9.6313,125.7634
0.9323,10.1162,127.6879
0.9121,9.9545,143.2119
0.9313,10.1667,137.4165
0.9990,9.9141,131.5925
0.9960,9.9646,127.1355
0.9434,10.0556,127.6107
0.9758,9.7222,126.1533
0.9778,10.0960,127.4628
0.9657,9.6212,125.7401
0.9253,10.0354,137.7708
0.9313,9.7525,126.4418
0.9071,9.9343,126.8025
0.9000,9.9141,127.0721
1.0000,10.0253,137.6901
0.9687,10.1465,127.7140
0.9162,10.0152,127.4454
0.9788,10.1566,127.7781
0.9990,9.8434,126.5749
0.9162,9.6010,125.9534
0.9293,9.7020,13.1117
0.9586,9.8030,126.4752
0.9162,9.8131,127.2456
0.9465,9.6717,126.3153
0.9545,9.9141,126.9381
0.9263,9.8737,88.3796
0.9970,9.8030,137.1362
0.9444,9.6111,125.9508
0.9091,9.9747,127.1907
0.9919,9.6212,125.7701
0.9869,10.1465,138.1263
0.9545,10.0960,127.5665
0.9939,9.6919,143.4095
0.9404,9.8434,126.8335
0.9071,9.9949,127.6027
0.9030,9.7828,126.5728
0.9121,9.7525,126.4373
0.9838,10.0455,127.3214
0.9232,10.1263,127.7814
0.9556,9.7323,126.3203
0.9798,10.0051,127.3238
0.9121,9.6111,133.5021
0.9071,9.6212,125.9881
0.9646,9.8838,126.8287
0.9758,9.6515,126.0086
0.9101,9.8838,126.9236
0.9758,9.7424,126.4552
0.9596,9.9444,126.9611
0.9444,10.0758,127.4014
0.9101,10.0758,133.8496
0.9121,9.6818,138.2047
0.9970,9.7020,125.9449
0.9364,9.8131,126.5984
0.9475,9.9747,137.5665
0.9657,9.8333,136.9101
0.9182,10.1465,127.9001
0.9939,9.8939,133.0179
0.9859,9.9242,137.6123
0.9970,9.9545,137.6111
0.9596,10.1162,127.8102
0.9263,9.7828,126.4769
0.9869,9.7323,142.1702
0.9000,9.9444,127.3574
0.9121,10.1263,127.7321
load_effect,max_oil_cooling,Profit
1.2273,5.2929,50.2772
0.6818,5.8990,44.9713
1.8182,5.4343,133.9752
1.7576,4.9293,1.5979
0.5606,5.6364,54.1282
1.5303,5.8182,68.0809
1.7879,4.7475,78.5651
1.1970,4.9495,88.6698
0.5758,5.4545,20.0194
1.5000,5.9596,89.7422
1.9394,5.2525,39.6212
0.8485,5.9394,63.8849
1.4848,4.8081,103.3792
1.9394,4.7879,50.0510
0.9242,5.3131,56.7670
1.1364,5.7980,13.3313
1.5455,4.6667,79.5451
1.1212,4.8485,55.8279
0.9848,4.8889,45.5826
1.5152,5.5152,76.2139
0.7879,5.2525,78.9272
1.7121,5.5758,6.2444
0.8485,5.6970,57.1823
1.9697,5.1717,61.8453
0.5455,5.7172,63.8036
1.8333,5.5960,132.4037
1.2727,4.7677,56.8587
1.4091,5.9192,91.1955
0.9394,5.9394,43.1063
1.8182,5.6970,108.2688
1.7121,4.6869,110.2613
1.4242,5.1313,83.9802
1.1970,5.5354,130.6386
0.8030,5.1717,53.5963
1.6061,5.8990,133.0176
0.5909,5.3939,135.8098
1.7879,5.1717,106.4144
1.0000,5.0909,63.9039
0.6515,5.2929,48.1547
1.2576,4.7071,105.1712
1.1061,4.7475,98.0617
0.6667,5.7576,46.6512
1.3788,5.6768,88.4585
0.8485,5.0505,57.0555
1.5758,4.9899,131.8196
0.9848,4.7879,12.5077
1.0455,5.6768,111.2943
0.6212,5.8586,66.9884
1.5909,5.1919,137.1259
1.6515,5.8182,90.1618
0.9697,5.9798,94.4540
0.8182,5.5354,52.5184
1.3788,5.3535,69.6588
1.6515,4.6667,53.3867
1.9091,5.3131,59.5227
0.9091,4.8687,26.3713
1.3333,5.7980,45.9980
1.6212,5.3535,54.1552
0.7576,5.0909,47.7449
1.0758,5.4545,25.9602
1.8182,4.8081,114.5679
1.2273,5.1111,51.6918
0.5909,5.2929,52.0192
1.2273,5.8384,115.4708
1.9394,5.1313,46.3154
1.3333,4.7071,-236.7022
0.6667,5.5960,56.5404
1.7727,5.0303,132.9977
0.7273,5.9192,98.9505
1.8485,4.9495,80.0053
1.3788,4.9697,104.8304
1.0000,5.8182,21.6757
1.7576,5.6768,110.1133
1.6212,5.6768,59.7701
1.3939,5.9596,50.2487
1.1212,5.2727,51.1995
1.3333,5.9596,85.7485
0.8030,5.4141,65.1568
1.5758,4.8283,101.8325
1.7424,5.2929,80.9581
1.3030,5.4747,106.5740
1.4545,4.7273,76.2586
0.8939,4.9293,42.1819
0.9545,5.5152,94.3275
0.5303,5.6162,95.5088
0.8485,5.9798,35.4411
0.9394,4.7879,99.7790
1.6667,5.4545,47.2469
1.0606,5.8788,57.6084
1.1970,4.7071,87.8032
1.3939,5.2525,89.0936
1.4848,5.6566,96.3516
1.7424,5.7374,63.7700
1.1061,5.0505,64.9065
1.7273,5.7980,90.3594
1.6818,4.8283,6.7809
1.2424,5.6566,-4.1326
0.5152,5.7172,55.0110
1.8485,5.3737,106.5605
1.6515,5.0909,60.9589

0.9485,5.0732,137.6925
0.9717,4.8914,136.9924
0.9848,5.1288,127.6729
0.9293,4.9167,89.5961
0.9192,5.0126,127.3861
0.9899,4.9722,127.0575
0.9444,5.1237,133.9164
0.9505,4.8763,132.8616
0.9909,5.0682,127.3771
0.9020,5.0429,139.8478
0.9111,5.1035,127.8094
0.9879,4.9318,126.8593
0.9182,4.9520,127.1387
0.9889,5.0126,135.5927
0.9758,4.8712,126.4946
1.0000,4.9015,126.8578
0.9010,5.0833,140.5543
0.9051,4.9318,127.1493
0.9596,5.1338,127.9133
0.9091,4.9066,122.2839
0.9879,5.0884,133.5493
0.9414,4.9823,127.1006
